Date,Ticker,Type,Entry_Price,Initial_Target,Status,Exit_Price,PnL
2025-12-15,AVGO,SHORT,339.8099975585937,319.7595190380762,OPEN,0.0,0.0
2025-12-15,TSLA,SHORT,475.30999755859375,460.3607214428857,OPEN,0.0,0.0
2025-12-15,NVDA,SHORT,176.2899932861328,165.03006012024048,CLOSED,183.38650512695312,-0.0402547626699497
2025-12-15,AAPL,LONG,274.1099853515625,279.97995991983964,CLOSED,270.92999267578125,-0.0116011559071907
2025-12-15,GOOG,LONG,309.32000732421875,324.9498997995992,OPEN,0.0,0.0
2025-12-15,MSFT,LONG,474.8200073242188,484.92985971943887,CLOSED,485.2650146484375,0.021997824782237
2025-12-15,AA,LONG,45.4900016784668,55.0,OPEN,0.0,0.0
2025-12-15,AMD,SHORT,207.5800018310547,194.8196392785571,OPEN,0.0,0.0
2025-12-15,META,SHORT,647.510009765625,630.2605210420842,OPEN,0.0,0.0
2025-12-15,NFLX,LONG,93.7699966430664,101.7635270541082,CLOSED,93.23799896240234,-0.0056734317981166
2025-12-15,SPY,LONG,680.72998046875,720.0,CLOSED,690.3800048828125,0.0141759944338245
2025-12-15,IWM,LONG,251.92999267578125,270.0,OPEN,0.0,0.0
2025-12-22,AMZN,LONG,228.23989868164065,234.8697394789579,CLOSED,232.3800048828125,0.0181392746188809
2025-12-22,ORCL,SHORT,198.6499938964844,179.92985971943887,OPEN,0.0,0.0
2025-12-22,CIEN,SHORT,233.98989868164065,217.45490981963928,OPEN,0.0,0.0
2025-12-22,QQQ,LONG,619.4199829101562,642.0,CLOSED,623.9299926757812,0.0072810207775927
2025-12-25,NVDA,LONG,188.6100006103516,200.06012024048096,OPEN,0.0,0.0
2025-12-25,TLT,SHORT,88.02999877929688,84.03807615230461,OPEN,0.0,0.0
2025-12-25,GLD,SHORT,411.9299926757813,235.94188376753507,OPEN,0.0,0.0
2025-12-25,JPM,LONG,329.1700134277344,355.0,OPEN,0.0,0.0
2025-12-25,BAC,LONG,56.25,66.0,OPEN,0.0,0.0
2025-12-25,WFC,LONG,95.3000030517578,104.0,OPEN,0.0,0.0
2025-12-25,COIN,LONG,239.72999572753903,254.5991983967936,OPEN,0.0,0.0
2025-12-25,XOM,SHORT,119.22000122070312,110.0,OPEN,0.0,0.0
2025-12-25,CVX,LONG,150.5,175.0,OPEN,0.0,0.0
2025-12-25,F,LONG,13.359999656677246,20.0,OPEN,0.0,0.0
2025-12-25,GE,SHORT,316.75,309.9699398797595,OPEN,0.0,0.0
2025-12-25,WMT,LONG,111.61000061035156,130.0,OPEN,0.0,0.0
2025-12-25,DIS,LONG,114.4800033569336,135.0,OPEN,0.0,0.0
2025-12-25,SBUX,SHORT,84.56999969482422,76.0,OPEN,0.0,0.0
2025-12-25,PLTR,SHORT,194.1699981689453,190.1302605210421,OPEN,0.0,0.0
2025-12-25,C,LONG,121.55999755859375,125.0,OPEN,0.0,0.0
